full_name,stargazers_count,description,html_url,type
spinnaker/spinnaker,8388,"Spinnaker is an open source, multi-cloud continuous delivery platform for releasing software changes with high velocity and confidence.",https://github.com/spinnaker/spinnaker,cloud
cncf/landscape,8198,"🌄The Cloud Native Interactive Landscape filters and sorts hundreds of projects and products, and shows details including GitHub stars, funding or market cap, first and last commits, contributor counts, headquarters location, and recent tweets.",https://github.com/cncf/landscape,cloud
docker/docker-bench-security,7694,The Docker Bench for Security is a script that checks for dozens of common best-practices around deploying Docker containers in production.,https://github.com/docker/docker-bench-security,cloud
lima-vm/lima,7679,"Linux virtual machines, typically on macOS, for running containerd",https://github.com/lima-vm/lima,cloud
anbox/anbox,7536,Anbox is a container-based approach to boot a full Android system on a regular GNU/Linux system ,https://github.com/anbox/anbox,cloud
openebs/openebs,7429,"Leading Open Source Container Attached Storage, built using Cloud Native Architecture, simplifies running Stateful Applications on Kubernetes.",https://github.com/openebs/openebs,cloud
kylemanna/docker-openvpn,7396,🔒 OpenVPN server in a Docker container complete with an EasyRSA PKI CA,https://github.com/kylemanna/docker-openvpn,cloud
linuxkit/linuxkit,7306,"A toolkit for building secure, portable and lean operating systems for containers",https://github.com/linuxkit/linuxkit,cloud
krallin/tini,7194,A tiny but valid `init` for containers,https://github.com/krallin/tini,cloud
flannel-io/flannel,7118,"flannel is a network fabric for containers, designed for Kubernetes",https://github.com/flannel-io/flannel,cloud
tektoncd/pipeline,7000,A cloud-native Pipeline resource.,https://github.com/tektoncd/pipeline,cloud
draios/sysdig,6814,Linux system exploration and troubleshooting tool with first class support for containers,https://github.com/draios/sysdig,cloud
anaibol/awesome-serverless,6762,":cloud: A curated list of awesome services, solutions and resources for serverless / nobackend applications.",https://github.com/anaibol/awesome-serverless,cloud
distribution/distribution,6645,"The toolkit to pack, ship, store, and deliver container content",https://github.com/distribution/distribution,cloud
docker/machine,6492,Machine management for a container-centric world,https://github.com/docker/machine,cloud
NginxProxyManager/nginx-proxy-manager,6529,"Docker container for managing Nginx proxy hosts with a simple, powerful interface",https://github.com/NginxProxyManager/nginx-proxy-manager,cloud
rancher/os,6345,Tiny Linux distro that runs the entire OS as Docker containers,https://github.com/rancher/os,cloud
cookpete/react-player,6296,"A React component for playing a variety of URLs, including file paths, YouTube, Facebook, Twitch, SoundCloud, Streamable, Vimeo, Wistia and DailyMotion",https://github.com/cookpete/react-player,cloud
weaveworks/weave,6268,"Simple, resilient multi-host containers networking and more.",https://github.com/weaveworks/weave,cloud
priyankavergadia/google-cloud-4-words,6294,The Google Cloud Developer's Cheat Sheet,https://github.com/priyankavergadia/google-cloud-4-words,cloud
concourse/concourse,6255,Concourse is a container-based continuous thing-doer written in Go.,https://github.com/concourse/concourse,cloud
bottlerocket-os/bottlerocket,6180,An operating system designed for hosting containers,https://github.com/bottlerocket-os/bottlerocket,cloud
wercker/stern,5845,⎈ Multi pod and container log tailing for Kubernetes,https://github.com/wercker/stern,cloud
docker-archive/classicswarm,5804,Swarm Classic: a container clustering system. Not to be confused with Docker Swarm which is at https://github.com/docker/swarmkit,https://github.com/docker-archive/classicswarm,cloud
testcontainers/testcontainers-java,5780,"Testcontainers is a Java library that supports JUnit tests, providing lightweight, throwaway instances of common databases, Selenium web browsers, or anything else that can run in a Docker container.",https://github.com/testcontainers/testcontainers-java,cloud
dgkanatsios/CKAD-exercises,5701,A set of exercises to prepare for Certified Kubernetes Application Developer exam by Cloud Native Computing Foundation,https://github.com/dgkanatsios/CKAD-exercises,cloud
apache/openwhisk,5616,Apache OpenWhisk is an open source serverless cloud platform,https://github.com/apache/openwhisk,cloud
Alluxio/alluxio,5567,"Alluxio, data orchestration for analytics and machine learning in the cloud",https://github.com/Alluxio/alluxio,cloud
Yelp/dumb-init,5554,A minimal init system for Linux containers,https://github.com/Yelp/dumb-init,cloud
midwayjs/midway,5506,"🍔 A Node.js Serverless Framework for front-end/full-stack developers. Build the application for next decade. Works on AWS, Alibaba Cloud, Tencent Cloud and traditional VM/Container. Super easy integrate with React and Vue. 🌈",https://github.com/midwayjs/midway,cloud
fnproject/fn,5126,"The container native, cloud agnostic serverless platform.",https://github.com/fnproject/fn,cloud
spotify/docker-gc,5095,INACTIVE: Docker garbage collection of containers and images,https://github.com/spotify/docker-gc,cloud
duo-labs/cloudmapper,4959, CloudMapper helps you analyze your Amazon Web Services (AWS) environments.,https://github.com/duo-labs/cloudmapper,cloud
pi-hole/docker-pi-hole,4839,Pi-hole in a docker container,https://github.com/pi-hole/docker-pi-hole,cloud
alibaba/jvm-sandbox,4829,Real - time non-invasive AOP framework container based on JVM,https://github.com/alibaba/jvm-sandbox,cloud
falcosecurity/falco,4694,Cloud Native Runtime Security,https://github.com/falcosecurity/falco,cloud
stefanprodan/dockprom,4692,"Docker hosts and containers monitoring with Prometheus, Grafana, cAdvisor, NodeExporter and AlertManager",https://github.com/stefanprodan/dockprom,cloud
alibaba/pouch,4486,An Efficient Enterprise-class Container Engine,https://github.com/alibaba/pouch,cloud
gliderlabs/logspout,4407,Log routing for Docker container logs,https://github.com/gliderlabs/logspout,cloud
kedacore/keda,4406, KEDA is a Kubernetes-based Event Driven Autoscaling component. It provides event driven scale for any container running in Kubernetes ,https://github.com/kedacore/keda,cloud
nicolaka/netshoot,4388,a Docker + Kubernetes network trouble-shooting swiss-army container,https://github.com/nicolaka/netshoot,cloud
ECSlidingViewController/ECSlidingViewController,4367,Customizable sliding view controller container.,https://github.com/ECSlidingViewController/ECSlidingViewController,cloud
browserless/chrome,4361,"The browserless Chrome service in Docker. Run on our cloud, or bring your own.",https://github.com/browserless/chrome,cloud
jwilder/dockerize,4317,Utility to simplify running applications in docker containers,https://github.com/jwilder/dockerize,cloud
aws/containers-roadmap,4314,"This is the public roadmap for AWS container services (ECS, ECR, Fargate, and EKS). ",https://github.com/aws/containers-roadmap,cloud
marcj/css-element-queries,4226,CSS Element-Queries aka Container Queries. High-speed element dimension/media queries in valid css.,https://github.com/marcj/css-element-queries,cloud
BretFisher/udemy-docker-mastery,4192,"Udemy Course to build, compose, deploy, and manage containers from local development to high-availability in the cloud",https://github.com/BretFisher/udemy-docker-mastery,cloud
containernetworking/cni,4098,Container Network Interface - networking for Linux containers,https://github.com/containernetworking/cni,cloud
cloud-custodian/cloud-custodian,4081,"Rules engine for cloud security, cost optimization, and governance, DSL in yaml for policies to query, filter, and take actions on resources",https://github.com/cloud-custodian/cloud-custodian,cloud
mesosphere/marathon,4044,Deploy and manage containers (including Docker) on top of Apache Mesos at scale.,https://github.com/mesosphere/marathon,cloud
mviereck/x11docker,4029,Run GUI applications and desktops in docker and podman containers. Focus on security.,https://github.com/mviereck/x11docker,cloud
bridgecrewio/checkov,3993,"Prevent cloud misconfigurations during build-time for Terraform, CloudFormation, Kubernetes, Serverless framework and other infrastructure-as-code-languages with Checkov by Bridgecrew.",https://github.com/bridgecrewio/checkov,cloud
nginx-proxy/docker-gen,3997,Generate files from docker container meta-data,https://github.com/nginx-proxy/docker-gen,cloud
Azure/draft,3965,A tool for developers to create cloud-native applications on Kubernetes.,https://github.com/Azure/draft,cloud
jpetazzo/pipework,3967,Software-Defined Networking tools for LXC (LinuX Containers),https://github.com/jpetazzo/pipework,cloud
cri-o/cri-o,3905,Open Container Initiative-based implementation of Kubernetes Container Runtime Interface,https://github.com/cri-o/cri-o,cloud
pkluz/PKRevealController,3904,"PKRevealController is a delightful view controller container for iOS, enabling you to present multiple controllers on top of one another.",https://github.com/pkluz/PKRevealController,cloud
googleapis/google-cloud-python,3848,Google Cloud Client Library for Python,https://github.com/googleapis/google-cloud-python,cloud
autofac/Autofac,3834,An addictive .NET IoC container,https://github.com/autofac/Autofac,cloud
nextcloud/docker,3824,⛴ Docker image of Nextcloud,https://github.com/nextcloud/docker,cloud
phodal/awesome-iot,3559,"Awesome IoT. A collaborative list of great resources about IoT Framework, Library,  OS, Platform",https://github.com/phodal/awesome-iot,iot
alphaSeclab/awesome-reverse-engineering,3232,Reverse Engineering Resources About All Platforms(Windows/Linux/macOS/Android/iOS/IoT) And Every Aspect! (More than 3500 open source tools and 2300 posts&videos),https://github.com/alphaSeclab/awesome-reverse-engineering,iot
WasmEdge/WasmEdge,2920,"WasmEdge is a lightweight, high-performance, and extensible WebAssembly runtime for cloud native, edge, and decentralized applications. It powers serverless apps, embedded functions, microservices, smart contracts, and IoT devices.",https://github.com/WasmEdge/WasmEdge,iot
HQarroum/awesome-iot,2394,🤖 A curated list of awesome Internet of Things projects and resources.,https://github.com/HQarroum/awesome-iot,iot
mainflux/mainflux,1741,Industrial IoT Messaging and Device Management Platform,https://github.com/mainflux/mainflux,iot
gcgarner/IOTstack,1436,docker stack for getting started on IOT on the Raspberry PI,https://github.com/gcgarner/IOTstack,iot
Azure/iotedge,1294,The IoT Edge OSS project,https://github.com/Azure/iotedge,iot
kuzzleio/kuzzle,1168,"Open-source Back-end, self-hostable & ready to use - Real-time, storage, advanced search - Web, Apps, Mobile, IoT -",https://github.com/kuzzleio/kuzzle,iot
balena-io/open-balena,831,Open source software to manage connected IoT devices at scale,https://github.com/balena-io/open-balena,iot
aws/aws-iot-device-sdk-embedded-C,797,SDK for connecting to AWS IoT from a device using embedded C.,https://github.com/aws/aws-iot-device-sdk-embedded-C,iot
fkie-cad/awesome-embedded-and-iot-security,785,A curated list of awesome embedded and IoT security resources.,https://github.com/fkie-cad/awesome-embedded-and-iot-security,iot
ostreedev/ostree,688,Operating system and container binary deployment and upgrades,https://github.com/ostreedev/ostree,iot
senthilrch/kube-fledged,664,"A kubernetes operator for creating and managing a cache of container images directly on the cluster worker nodes, so application pods start almost instantly",https://github.com/senthilrch/kube-fledged,iot
apache/plc4x,592,PLC4X The Industrial IoT adapter,https://github.com/apache/plc4x,iot
balena-os/balena-engine,586,"Moby-based Container Engine for Embedded, IoT, and Edge uses",https://github.com/balena-os/balena-engine,iot
openremote/openremote,533,"100% open-source IoT Platform - Integrate your devices, create rules, and analyse and visualise your data",https://github.com/openremote/openremote,iot
Samsung/TizenRT,437,TizenRT is a lightweight RTOS-based platform to support low-end IoT devices,https://github.com/Samsung/TizenRT,iot
